WomanID,Year,Age,Region,Origin,Relagion,NumKillers,Killer,Weapon,Known,IsWoman,Status,WhereBody,Background,BodyTime
43,02/08/2018,unknown,central,ILArab,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
44,01/08/2018,62,north,ILArab,muslim,unknown,relatives,byhands,no,no,suspect arrested,home,relatives fight ,hours
45,10/07/2018,56,central,IL,jew,1,partner,unknown,yes,no,suspect arrested,home,relatives fight ,hours
46,10/06/2018,36,north,nigger,unknown,1,partner,knife,no,no,prison,home,relatives fight ,hours
47,07/06/2018,52,central,ILArab,muslim,2,dautgher partner,knife,no,yes,prison,home,relatives fight ,hours
48,28/05/2018,33,central,ILArab,muslim,unknown,relatives,unknown,no,no,suspect arrested,street,unknown,hours
49,17/05/2018,21,central,ILArab,muslim,1,brother,knife,yes,no,suspect arrested,home,relatives fight ,hours
50,17/05/2018,19,central,ILArab,muslim,1,brother,knife,yes,no,suspect arrested,home,relatives fight ,hours
51,03/04/2018,63,central,russian,unknown,1,son,hammer,no,no,suspect arrested,home,relatives fight ,hours
52,28/03/2018,53,central,stranger,unknown,1,partner,knife,yes,no,prison,home,relatives fight ,hours
53,11/03/2018,91,central,unknown,unknown,1,son,pistol,no,no,kill him self,home,relatives fight ,hours
54,01/02/2018,45,south,unknown,jew,1,son,knife,yes,no,suspect arrested,home,relatives fight ,hours
